lag_10,lag_30,rolling_std_6,rolling_mean_6,RH_1,rolling_mean_3,rolling_std_3,temp_diff,rolling_mean_12,rolling_std_12,Appliances
60.0,60.0,11.690451944506199,63.333333333333336,1.8634778326487664,60.0,10.000000000010619,-0.6103543946945167,65.83333333333333,14.354811251309282,60
60.0,60.0,11.690451944506199,63.333333333333336,1.634348158908835,60.0,10.000000000010619,-0.6103543946945167,65.83333333333333,14.354811251309282,60
60.0,60.0,11.690451944506199,63.333333333333336,1.53457951868261,56.666666666666664,5.773502691896256,-0.6103543946945167,65.83333333333333,14.354811251309282,50
50.0,60.0,11.690451944506199,63.333333333333336,1.475394732107734,53.333333333333336,5.773502691896256,-0.6103543946945167,65.83333333333333,14.354811251309282,50
50.0,60.0,11.690451944506199,63.333333333333336,1.5430344881932985,53.333333333333336,5.773502691896256,-0.6103543946945167,65.83333333333333,14.354811251309282,60
60.0,50.0,5.47722557505166,55.0,1.465248768694897,53.333333333333336,5.773502691896256,-0.6103543946945167,65.83333333333333,14.354811251309282,50
50.0,50.0,5.47722557505166,55.0,1.3993000065114545,56.666666666666664,5.773502691896256,-0.6103543946945167,65.83333333333333,14.354811251309282,60
60.0,60.0,5.47722557505166,55.0,1.3468791955451196,56.666666666666664,5.773502691896256,-0.631449172212388,65.83333333333333,14.354811251309282,60
60.0,50.0,5.163977794943222,56.666666666666664,1.3563910362446532,60.0,0.0,-0.6736387272481963,65.83333333333333,14.354811251309282,60
60.0,60.0,6.324555320336759,60.0,1.4813132107652154,63.333333333333336,5.773502691896256,-0.6457770256994491,65.83333333333333,14.354811251309282,70
70.0,60.0,69.6897888263888,88.33333333333333,1.4238194180924593,120.0,95.39392014169457,-0.6619733743017013,65.83333333333333,14.354811251309282,230
230.0,60.0,208.6783809278447,176.66666666666666,1.559098930263642,293.3333333333333,260.83200212652844,-0.6068069668630298,115.83333333333333,154.41728196577276,580
580.0,70.0,221.5776763725684,238.33333333333334,1.9657829637282,413.3333333333333,175.59422921421228,-0.6314807281002284,146.66666666666666,177.47385637600175,430
430.0,230.0,203.86269889315207,270.0,2.895829609904996,420.0,165.22711641858302,-0.629327775850641,162.5,177.51440402503576,250
250.0,580.0,196.1292091114086,276.6666666666667,2.895829609904996,260.0,165.2271164185831,-0.5843492696509829,166.66666666666666,175.20550703950403,100
100.0,430.0,190.09646673903924,281.6666666666667,2.895829609904996,150.0,86.60254037844406,-0.580126341277381,170.83333333333334,172.7561778047227,100
100.0,250.0,205.66153424174064,258.3333333333333,2.895829609904996,96.66666666666667,5.773502691899932,-0.5404412802711372,173.33333333333334,171.21668001439437,90
90.0,100.0,141.51560573543358,173.33333333333334,2.895829609904996,86.66666666666667,15.275252316520914,-0.4762009629109514,175.0,170.0,70
70.0,100.0,67.15653356152345,115.0,2.775769042853041,80.0,10.00000000000227,-0.4551061853930799,176.66666666666666,168.86429911367148,80
